# Rime user dictionary
#@/db_name	jyut6ping3
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6354
#@/user_id	ad4735de-f6a4-47fe-aa8e-4a1a80cb8225
ci4 di1 	遲啲	c=2 d=0.000108199 t=6354
ci4 dou3 	遲到	c=1 d=7.45292e-13 t=6354
ci4 sin6 	慈善	c=2 d=0.0157738 t=6354
ci4 tung1 loeng6 	磁通量	c=1 d=2.02557e-10 t=6354
ci5 	似	c=2 d=9.20753e-09 t=6354
cim1 	簽	c=2 d=0.860708 t=6354
cin2 	錢	c=6 d=2.99067e-05 t=6354
cin4 	前	c=2 d=9.42415e-09 t=6354
cin4 jat6 	前日	c=2 d=0.609803 t=6354
cin4 min6 	前面	c=1 d=8.72202e-10 t=6354
cing1 ceoi3 	清脆	c=1 d=2.45492e-07 t=6354
cing1 cyun4 	清泉	c=1 d=4.45161e-09 t=6354
cing1 seoi2 waan1 	清水灣	c=2 d=1.5225e-06 t=6354
cing2 	請	c=1 d=0.737123 t=6354
cing4 jyun6 	情願	c=1 d=3.24929e-11 t=6354
cing4 seoi5 	情緒	c=1 d=2.76077e-06 t=6354
ciu1 cuk1 	超速	c=1 d=1.18652e-12 t=6354
ciu1 gwo3 	超過	c=0 d=0.00742736 t=6354
ciu4 	潮	c=1 d=2.21098e-11 t=6354
co1 jat1 	初一	c=1 d=0.323033 t=6354
co5 	坐	c=1 d=4.26674e-10 t=6354
coeng2 	搶	c=1 d=0.0026852 t=6354
coeng3 hang4 	暢行	c=1 d=0.00219846 t=6354
coeng4 	場	c=4 d=0.0107911 t=6354
coeng4 	長	c=3 d=0.985776 t=6354
coeng4 ci3 	場次	c=2 d=0.000120363 t=6354
coeng4 dei6 	場地	c=1 d=5.97704e-05 t=6354
coi3 	蔡	c=1 d=6.80798e-07 t=6354
coi3 	賽	c=0 d=1.44847e-07 t=6354
cong4 mei5 	牀尾	c=1 d=0.024972 t=6354
cong4 tau4 	牀頭	c=1 d=0.0248475 t=6354
cou1 	操	c=2 d=6.1508e-08 t=6354
